Timestamp,Sensor Status
2025-02-07 12:38:32,Object
2025-02-07 12:38:35,Object
2025-02-07 12:38:38,No Object
2025-02-07 12:38:41,No Object
2025-02-07 12:38:44,No Object
2025-02-07 12:38:47,No Object
2025-02-07 12:43:47,No Object
2025-02-07 12:43:50,Object
2025-02-07 12:43:53,No Object
2025-02-07 12:43:56,No Object
2025-02-07 12:43:59,No Object
2025-02-07 12:44:02,No Object
2025-02-07 12:44:05,No Object
2025-02-07 12:44:08,No Object
2025-02-07 12:44:11,No Object
2025-02-07 12:44:14,No Object
2025-02-07 12:44:17,No Object
2025-02-07 12:44:20,No Object
2025-02-07 12:44:23,No Object
2025-02-07 12:44:26,Object
2025-02-07 12:44:29,No Object
2025-02-07 12:44:32,No Object
2025-02-07 12:44:35,No Object
2025-02-07 12:44:38,No Object
2025-02-07 12:44:41,No Object
2025-02-07 12:49:01,0
2025-02-07 12:49:02,0
2025-02-07 12:49:03,0
2025-02-07 12:49:04,0
2025-02-07 12:49:05,1
2025-02-07 12:49:07,0
2025-02-07 12:49:08,0
2025-02-07 12:49:09,1
2025-02-07 12:49:11,1
2025-02-07 12:49:13,1
2025-02-07 12:49:15,0
2025-02-07 12:49:16,1
2025-02-07 12:49:18,0
2025-02-07 12:49:19,1
